team_id,team_name,player_name,fg_id_x,position,salary,player_type,OTTONEUID,IDFANGRAPHS,fg_id_y,Name,FPTS
4179,Bartolo's Meatballs,Chase DeLauter,42176,OF,4,hitters,42176,32127,32127,Chase DeLauter,498.9
4179,Bartolo's Meatballs,Dillon Dingler,38308,C,3,hitters,38308,27464,27464,Dillon Dingler,451.8
4179,Bartolo's Meatballs,Mark Vientos,26857,3B,3,hitters,26857,22184,22184,Mark Vientos,495.7
4179,Bartolo's Meatballs,Nick Castellanos,14914,OF,2,hitters,14914,11737,11737,Nick Castellanos,370.3
4179,Bartolo's Meatballs,Mickey Moniak,23639,OF,1,hitters,23639,19956,19956,Mickey Moniak,608.9
4179,Bartolo's Meatballs,Chase Meidroth,42304,2B/SS,1,hitters,42304,31580,31580,Chase Meidroth,547.9
4098,Vance Munson VagHawks,Corbin Carroll,37182,OF,37,hitters,37182,25878,25878,Corbin Carroll,911.9
4098,Vance Munson VagHawks,Matt Olson,18386,1B,31,hitters,18386,14344,14344,Matt Olson,921.0
4098,Vance Munson VagHawks,Munetaka Murakami,48240,3B,19,hitters,,,,,753.3
4098,Vance Munson VagHawks,Brandon Nimmo,18126,OF,18,hitters,18126,12927,12927,Brandon Nimmo,714.8
4098,Vance Munson VagHawks,Riley Greene,36509,OF,16,hitters,36509,25976,25976,Riley Greene,881.0
4098,Vance Munson VagHawks,Oneil Cruz,32291,OF,15,hitters,32291,21711,21711,Oneil Cruz,683.3
4098,Vance Munson VagHawks,Jackson Holliday,42126,2B/SS,14,hitters,42126,31781,31781,Jackson Holliday,521.2
4098,Vance Munson VagHawks,Ezequiel Tovar,35628,SS,12,hitters,35628,24064,24064,Ezequiel Tovar,713.1
4098,Vance Munson VagHawks,Samuel Basallo,39288,C/1B,9,hitters,39288,28824,28824,Samuel Basallo,541.2
4098,Vance Munson VagHawks,Dansby Swanson,18506,SS,8,hitters,18506,18314,18314,Dansby Swanson,732.7
4098,Vance Munson VagHawks,Noelvi Marte,36030,3B/OF,7,hitters,36030,26517,26517,Noelvi Marte,583.8
4098,Vance Munson VagHawks,Ethan Holliday,47552,Util,6,hitters,,,,,0.0
4098,Vance Munson VagHawks,Addison Barger,34817,3B/OF,6,hitters,34817,24598,24598,Addison Barger,594.0
4098,Vance Munson VagHawks,Luis García Jr.,33548,2B,6,hitters,33548,20391,20391,Luis García Jr.,584.3
4098,Vance Munson VagHawks,Alec Burleson,38368,1B/OF,5,hitters,38368,27615,27615,Alec Burleson,689.8
4098,Vance Munson VagHawks,Moises Ballesteros,39285,C,5,hitters,39285,28820,28820,Moisés Ballesteros,364.2
4098,Vance Munson VagHawks,Emmanuel Rodriguez,38456,OF,5,hitters,38456,sa3014693,sa3014693,Emmanuel Rodriguez,59.9
4098,Vance Munson VagHawks,Colt Emerson,44248,SS,4,hitters,,,,,290.9
4098,Vance Munson VagHawks,Colby Thomas,42746,OF,4,hitters,,,,,277.5
4098,Vance Munson VagHawks,Braden Montgomery,45739,OF,4,hitters,,,,,108.5
4098,Vance Munson VagHawks,Drake Baldwin,42221,C,4,hitters,42221,31539,31539,Drake Baldwin,648.6
4098,Vance Munson VagHawks,Michael Arroyo,41180,2B,2,hitters,,,,,0.0
4146,The Baseball Team,Vladimir Guerrero Jr.,18549,1B,51,hitters,18549,19611,19611,Vladimir Guerrero Jr.,1079.4
4146,The Baseball Team,Roman Anthony,42409,OF,19,hitters,42409,31812,31812,Roman Anthony,805.6
4146,The Baseball Team,Dylan Crews,43950,OF,15,hitters,43950,33541,33541,Dylan Crews,632.8
4146,The Baseball Team,Matt McLain,40371,2B,10,hitters,40371,29695,29695,Matt McLain,675.9
4146,The Baseball Team,Nick Kurtz,45716,1B,10,hitters,45716,35110,35110,Nick Kurtz,909.3
4146,The Baseball Team,Jasson Dominguez,37635,OF,9,hitters,37635,28080,28080,Jasson Domínguez,103.6
4146,The Baseball Team,Colt Keith,38374,1B/2B/3B,8,hitters,38374,27899,27899,Colt Keith,569.4
4146,The Baseball Team,Triston Casas,33651,1B,8,hitters,33651,22514,22514,Triston Casas,175.8
4146,The Baseball Team,Jacob Wilson,44003,SS,7,hitters,44003,33266,33266,Jacob Wilson,729.3
4146,The Baseball Team,Kristian Campbell,44308,1B/2B/OF,7,hitters,44308,33644,33644,Kristian Campbell,98.3
4146,The Baseball Team,Andy Pages,33949,OF,7,hitters,33949,24816,24816,Andy Pages,709.2
4146,The Baseball Team,Jordan Lawlar,40260,2B/SS/3B,6,hitters,40260,29976,29976,Jordan Lawlar,458.3
4146,The Baseball Team,Spencer Torkelson,38320,1B,6,hitters,38320,27465,27465,Spencer Torkelson,749.0
4146,The Baseball Team,Adael Amador,38448,2B,6,hitters,38448,27962,27962,Adael Amador,76.4
4146,The Baseball Team,Carson Benge,45947,OF,5,hitters,,,,,393.3
4146,The Baseball Team,Alejandro Kirk,27207,C,5,hitters,27207,22581,22581,Alejandro Kirk,618.7
4146,The Baseball Team,Owen Caissie,38367,OF,5,hitters,38367,27496,27496,Owen Caissie,456.3
4146,The Baseball Team,Harry Ford,40675,C,4,hitters,40675,29958,29958,Harry Ford,236.8
4146,The Baseball Team,Chandler Simpson,42416,OF,4,hitters,42416,31912,31912,Chandler Simpson,440.2
4146,The Baseball Team,Jett Williams,42175,2B/SS/OF,4,hitters,42175,sa3020134,sa3020134,Jett Williams,150.3
4146,The Baseball Team,Brady House,40261,3B,4,hitters,40261,29993,29993,Brady House,506.7
4146,The Baseball Team,Aidan Miller,44052,SS,3,hitters,,,,,40.9
4146,The Baseball Team,Max Clark,43893,OF,3,hitters,,,,,0.0
4146,The Baseball Team,Walker Jenkins,43988,OF,3,hitters,,,,,85.2
4146,The Baseball Team,Josue De Paula,41342,OF,3,hitters,,,,,0.0
4146,The Baseball Team,Zyhir Hope,44114,OF,2,hitters,,,,,0.0
