team_id,team_name,player_name,fg_id,position,salary,player_type
4179,Bartolo's Meatballs,Kirby Yates,6175,RP,1,pitchers
4098,Vance Munson VagHawks,Corbin Carroll,37182,OF,37,hitters
4098,Vance Munson VagHawks,Matt Olson,18386,1B,31,hitters
4098,Vance Munson VagHawks,Munetaka Murakami,48240,3B,19,hitters
4098,Vance Munson VagHawks,Brandon Nimmo,18126,OF,18,hitters
4098,Vance Munson VagHawks,Riley Greene,36509,OF,16,hitters
4098,Vance Munson VagHawks,Oneil Cruz,32291,OF,15,hitters
4098,Vance Munson VagHawks,Jackson Holliday,42126,2B/SS,14,hitters
4098,Vance Munson VagHawks,Ezequiel Tovar,35628,SS,12,hitters
4098,Vance Munson VagHawks,Samuel Basallo,39288,C/1B,9,hitters
4098,Vance Munson VagHawks,Dansby Swanson,18506,SS,8,hitters
4098,Vance Munson VagHawks,Noelvi Marte,36030,3B/OF,7,hitters
4098,Vance Munson VagHawks,Addison Barger,34817,3B/OF,6,hitters
4098,Vance Munson VagHawks,Luis García Jr.,33548,2B,6,hitters
4098,Vance Munson VagHawks,Ethan Holliday,47552,Util,6,hitters
4098,Vance Munson VagHawks,Moises Ballesteros,39285,C,5,hitters
4098,Vance Munson VagHawks,Emmanuel Rodriguez,38456,OF,5,hitters
4098,Vance Munson VagHawks,Alec Burleson,38368,1B/OF,5,hitters
4098,Vance Munson VagHawks,Colby Thomas,42746,OF,4,hitters
4098,Vance Munson VagHawks,Colt Emerson,44248,SS,4,hitters
